Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,Frequência
(5.125838582043865-21.27936020349162j),(5.584332865244704+18.85233496327529j),(-1.1373897668550939+8.273920808654168j),(-6.992336137666825-0.9642036674777046j),(-4.67543531566136+2.287887396424118j),(-3.640265438866905-11.118360811076002j),(9.95301454921858-14.421709635772874j),(2.4131637526345386-4.2328263833267386j),(-15.673301074403177+24.92201118256107j),(0.5596821707631996+3.4047874771834756j),(-2.139930297916692-11.25167804397558j),50.5
(5.1774252746947695-20.96529652849746j),(5.487395203062086+18.694680617988602j),(-1.2888231243448232+7.340000341085343j),(-6.6946041494170245-1.1458119906384923j),(-4.610649910415823+1.9275050401212752j),(-3.204037994668809-10.525049426193625j),(9.161537587771278-14.0676640988072j),(2.736714306487073-5.555924014643267j),(-15.605065553535976+24.411380420230266j),(0.8378354488785931+3.555303840952277j),(-2.337150373468617-11.11762410159119j),50.6
(5.724715603732221-21.29306870674543j),(4.8539742491215065+19.133512488470245j),(-0.8090338348679751+8.771289189236256j),(-6.647557989079374-1.3794476017102966j),(-5.0142408985507245+2.263819639002378j),(-4.29374693298098-11.361420533444718j),(10.060893374722596-14.143337846950708j),(2.2409847588205594-5.0298714607658255j),(-15.75154096841463+25.430431682116104j),(0.9088081807835522+2.9855153745095393j),(-2.2615739141592996-10.2619631656036j),50.7
(5.323572062399251-20.992225739651317j),(4.53238136556913+19.518206036736174j),(-0.6948573437833296+8.766787720242856j),(-6.2645445912408775-0.8668621022371923j),(-4.394374264551857+2.477669252334003j),(-3.4291891536597063-10.53971885048972j),(9.510412171710087-13.283194766011732j),(2.87357584521866-4.6449793511754365j),(-16.135358312850713+24.33701215877457j),(-0.020667256839715265+4.152066152911111j),(-1.667014986429308-11.298981941472618j),50.800000000000004
(4.188235413985005-21.426118615966537j),(4.493413327295883+18.00811952746277j),(-0.7976132915857477+6.553250236325425j),(-5.819674138239819-1.8169308557895505j),(-4.5090912107647725+3.270320743763051j),(-4.313850317173205-11.218974396722544j),(9.040833316500745-13.666703786048856j),(2.724400918817196-4.939339014294603j),(-15.973159874943974+24.043352753440104j),(0.4709862925062538+3.4074668565107338j),(-3.277602104301872-11.992350770514136j),50.900000000000006
(5.574205560796287-20.979226399477255j),(4.653177663604282+18.762120533153194j),(-1.9510114071832731+6.329883189418325j),(-6.371204812907791-1.504041782560705j),(-5.0941379284782045+1.959481955317127j),(-4.448976395274595-10.4705340712609j),(9.11326560105094-14.498618425391953j),(1.1510298129713448-5.196223011579896j),(-15.87768711140972+23.596439002295867j),(-0.1594284439997864+3.9484639631750085j),(-2.3797140781718156-11.36494771487201j),51.0
(4.875371067208377-20.62191491352111j),(5.479299845458399+19.115417647859402j),(-0.6914367819403893+7.817154055145359j),(-6.237141381197233-1.3274580023404638j),(-5.010076054764973+2.3220681406938297j),(-3.7777271193060074-9.632605419465676j),(10.063247971214508-14.361790891489854j),(2.597504969764884-4.680836886037568j),(-15.218814414370947+22.721482395384346j),(-0.13729565297968804+3.553896456724317j),(0.01878755773813623-10.922496531512863j),51.1
(5.1710235136051494-20.116998281501708j),(4.556768933820138+18.681455677481672j),(-1.0552673405575774+7.522298458896047j),(-7.036414610023471-1.1848760021154132j),(-4.260153175937134+1.9657909608299018j),(-3.685505518178985-10.604910562070907j),(9.199105332183528-13.544417683094817j),(1.8301513247309629-5.813680148443525j),(-15.823710885357691+24.315175405628565j),(0.13492760238793267+2.833862464186455j),(-0.4005713447239714-12.183556551262472j),51.2
(5.134972134313228-20.15256368785456j),(3.9693252260013754+17.043067342407227j),(-0.21780138621995448+8.956203799460251j),(-5.728565748674491-1.3969596078237845j),(-5.128977043031161+2.3778319021663306j),(-5.106759926154975-9.878269937014347j),(8.339243383249984-13.409466428959327j),(2.9037129674991298-4.54745213636512j),(-15.355174269212695+23.75411971485181j),(0.3192685207054301+3.7582362397515205j),(-1.3667299160952417-11.250176465870192j),51.300000000000004
(4.808527924955225-20.049182362548628j),(4.516991266000435+17.982948356369135j),(-1.0644858895101512+8.19518200831332j),(-5.616991461739622-2.1192754417330457j),(-5.07385541191597+2.977673908771203j),(-2.9305809219015866-10.495616504106703j),(9.699478062234471-13.706845225956968j),(3.269013824241062-5.924230413520754j),(-16.185833066694837+24.07410457102282j),(0.6811898837816044+3.3574859235236993j),(-0.7281402063083232-11.566344643999114j),51.400000000000006
(6.854315481449048-18.593474593787324j),(5.299039407080065+17.846279008776573j),(-0.28753824285972474+6.0694842796063515j),(-5.335857818789-1.2017303036980767j),(-4.505386679915002+1.98024067126715j),(-4.522503074749597-11.412872995456487j),(8.115239673401495-14.40069554988071j),(1.4217726320417439-3.9538823620241743j),(-15.34978203401368+23.64395726646208j),(0.8037425534756593+3.3329449817247765j),(-2.096114971130145-10.951709848927065j),51.5
(5.143521376888097-18.600368342676845j),(4.5940759998555825+17.350493171820823j),(-0.793963341545651+8.272344894453528j),(-5.1634440303258256-1.2127795551916656j),(-5.006865721418708+2.1194884934309925j),(-4.255013295274938-10.22296589619043j),(9.089000240529773-12.972870542689328j),(1.5117288099262738-3.6601623195054716j),(-15.444053737466474+23.607193050321964j),(-0.0012636300742473426+3.084526638265534j),(-0.4425130346068027-11.11326349239454j),51.6
(4.693608689551725-19.986074398239587j),(4.527831347977034+17.070222616212376j),(-0.5681229533883958+8.091445280964077j),(-6.0585078071584535-0.7699345636708785j),(-4.786597967506217+2.542328513382183j),(-4.189889374007373-10.556031795270941j),(9.407055243268244-13.457190013457716j),(3.051184274701842-5.193689633258252j),(-15.767938066283893+21.825608515962067j),(1.2493102751957597+3.8999326797564597j),(-1.4705315232766958-11.055549622731203j),51.7
(5.283361032605055-19.457200522251608j),(4.64672974124932+18.023608798136905j),(0.050599630058371314+6.068908241680926j),(-5.008135092580775-1.4587191395313637j),(-4.653340464827706+2.1723702933509226j),(-4.007749380674245-11.308426188350554j),(9.026087617222696-13.434276514094185j),(2.942030342852032-5.024848186590219j),(-15.812957004545892+23.06087637080106j),(-0.16424546113388794+3.981341694666685j),(-1.6927644879342345-10.545777183317158j),51.800000000000004
(6.054094682277818-19.827677828076588j),(4.432727491845223+16.740080412611285j),(-0.4410841469975462+5.589484761816923j),(-5.556316667715185-1.4769504067363164j),(-5.217815280912879+2.6110073897884516j),(-5.3534038868171825-10.877527413869617j),(9.438975834848073-12.815342885341096j),(1.8982244843494274-5.081289512150278j),(-15.549496753414505+23.173125317732385j),(0.5644192350742097+4.04526160828543j),(-1.1229928290178333-10.173873420698332j),51.900000000000006
(5.997352604076988-18.44591117816002j),(3.903668237294864+16.651152201986783j),(0.9145290498332836+7.066666646576316j),(-4.9494108172498015-1.0670909672196986j),(-4.51617452920771+2.353535491794924j),(-4.75582108247875-10.522803907043045j),(9.290072308806689-12.312105397073124j),(1.8694774372034444-4.6938254343421635j),(-15.37089073477073+22.12269563741672j),(0.6825471144024571+3.4460699544214686j),(-1.8533582265153485-11.04568415263633j),52.0
(5.436815306333958-20.08352921137019j),(3.54566428005825+17.907558069150717j),(-0.3241585335802811+7.2270117966137075j),(-5.430895108791095-1.8076648075237238j),(-4.415281169600477+2.296169261938765j),(-3.8798211916095604-10.7871412828131j),(9.040074989728195-13.082729906588604j),(1.3905293172514206-4.011141514563536j),(-15.317774736908007+22.805960795618446j),(-0.18276148767653788+2.81218128852623j),(-1.1196119781803047-10.459099580199453j),52.1
(4.895716341330827-18.506159333799687j),(4.144853419965039+16.8517349302496j),(0.5762068745143054+7.034910871837606j),(-4.937299472606593-1.7224750681919736j),(-4.598289036879714+2.284063624275049j),(-4.392234812295607-10.284179541962791j),(9.395554889912585-12.7661622848484j),(2.2143965691020346-4.372306047665552j),(-15.790597449876554+22.248869129179727j),(0.59815542753782+3.5138942048943274j),(-0.9629764109357497-9.58092864837761j),52.2
(5.197993679248589-18.66472942093549j),(4.245212809001986+17.126773068314083j),(-0.41815141634480174+6.972571706183042j),(-4.689201789434198-1.5368535096738865j),(-4.1646176609340495+2.2196852565219976j),(-4.67350762420658-9.927646364316885j),(9.168092273603401-12.946383974744887j),(2.056553200211333-4.259738446333123j),(-14.764627636863686+22.21670970831535j),(0.5386324324017012+3.4213850264668633j),(-0.314201393398295-10.56502402214278j),52.300000000000004
(4.976439194950768-20.06477189803787j),(3.6717253990332663+16.91108412105915j),(0.22212898395383063+5.750209291933517j),(-4.929030521636109-1.288154586514354j),(-4.845201661246695+2.4720161650074175j),(-3.8029791866247775-10.947994583312472j),(9.668119621594784-12.533318539373138j),(2.143832951584813-5.4117916339716405j),(-14.893712683363416+22.89276573073365j),(0.23570690955859736+3.7010512249800582j),(-0.8408975812926358-10.384339167101796j),52.400000000000006
(5.417858236405941-19.107622966068796j),(3.051361843550459+16.349423823817837j),(0.4599100063483854+6.831377718623296j),(-4.633938823055493-1.6366985368132014j),(-4.483726040349481+2.496267005899195j),(-3.762762065613009-10.059108751364993j),(8.917230650867793-12.478116669931302j),(1.9796439195572821-5.373195321093261j),(-15.229029470008978+21.817611324143726j),(0.031033422971204483+3.4063618640020863j),(-0.523462587568307-9.897754922478882j),52.5
(5.8422603090673-18.483473389424056j),(3.501893093039075+16.365385805980797j),(-1.481467903098685+5.875041066799118j),(-4.584758952207567-1.4558111973428627j),(-4.8444548705354+2.7332275199565537j),(-4.530364545362113-10.33516083685465j),(8.669381245802958-12.663580987964062j),(1.652285851947779-4.492203617160452j),(-15.59204335818411+21.544793408958j),(0.14844008341312975+3.5614826168680476j),(-0.5540967448057916-9.956247266479057j),52.6
(5.776221281475975-19.469993819366785j),(3.2531006960457383+16.67661922191981j),(-0.5105341207674248+6.415726929318056j),(-4.395104567677253-1.385010708801422j),(-4.329367477591863+2.9290875253829713j),(-4.3516557722248494-9.916645390200877j),(9.053508773138194-12.66779379639435j),(2.6600069440652825-4.582429323904046j),(-16.023344541828575+21.342275181160414j),(0.08746831405170558+2.90746404840999j),(-0.24495061009951824-9.841001144730534j),52.7
(5.400035279105379-18.857269589913827j),(2.8344151256405006+15.851777701865835j),(-0.7912469334222731+6.048364350657952j),(-4.509608530023995-1.5542856642705287j),(-4.619524347990505+2.589254943297498j),(-3.6743298927778514-10.248550197024423j),(8.988024496217566-12.630677276808672j),(1.8092434913542315-4.477140589635755j),(-15.01273371314292+21.88347424100944j),(0.6088283091318855+3.2011334851886044j),(-0.6377930516457693-9.863860842688311j),52.800000000000004
(5.267461890851034-18.600941613877797j),(3.1851509773504265+16.28232880994186j),(-0.5036449056397299+5.815379457004951j),(-4.276009191977195-1.5651835082625127j),(-5.070945340047091+2.7900872649134367j),(-3.8326923354784537-10.065563632087068j),(8.812144427302973-12.296936669965284j),(2.464295984009454-4.445993017934951j),(-15.453658378473506+21.35751502387947j),(0.41442893187519947+3.567436706884653j),(-0.30006904491559583-9.996119782664664j),52.900000000000006
(5.682336380318713-18.171095011220267j),(2.769271078198989+15.926975109328275j),(-0.25774298415412655+5.743238649339907j),(-4.2366286766307155-0.905488705573716j),(-4.202384389031682+2.598646009529922j),(-4.509502005638531-10.00328787555291j),(9.37355435449048-11.851137741412273j),(1.8331986510876073-4.693728148243123j),(-15.499434251982713+21.107088191478113j),(0.12257371448362231+3.259602456068162j),(-0.6413008929170687-9.947607334831757j),53.0
(5.765665609072022-18.308979372020794j),(3.1944528460575787+15.947210533205075j),(-0.5547154462548609+5.83792597106482j),(-4.159788666718468-1.3084994132920862j),(-4.4978844616992735+2.7899781670595196j),(-3.949610862206227-10.49586172796526j),(9.044800252918865-12.74586574351899j),(1.9955754900007647-4.609235668882868j),(-15.275032204269003+21.184424322578657j),(0.04106151946250147+3.4524327151179612j),(-0.29514968694262667-9.735255406043976j),53.1
(5.263679570754992-18.4512386652879j),(3.29718260177209+15.798854286484097j),(0.22451648094761767+5.710580703966029j),(-3.7864605478087174-1.3282902208432845j),(-4.434617465567287+3.0677499052949964j),(-3.515210813635038-9.88096477711221j),(9.125777345134905-11.937641042945618j),(2.2541945854481877-4.499154939123877j),(-15.36671272142272+20.872788422731084j),(0.01326215456898805+3.2106219075247653j),(-0.4185297329982949-9.357519100366886j),53.2
(5.681056715367413-18.759553708253783j),(2.81414635011945+15.67519130172522j),(-0.7000731570495697+5.996745366700254j),(-4.0898330165405605-1.3421178787742096j),(-4.40941243637198+3.031986535501908j),(-3.9741160637494763-9.96427040103624j),(9.188092675161478-11.859047063159071j),(1.9546120179588957-4.141390281843645j),(-15.287181782545039+20.788559630073387j),(0.05166653836097912+3.2607006823209486j),(-0.3069904741247411-9.9362156475783j),53.300000000000004
(5.699565256014997-18.309430316204832j),(2.818043303138823+16.057320947509425j),(-0.3006869422108851+5.167815365951018j),(-4.187137738093018-1.6665892330096554j),(-4.628214290135148+2.477146814964353j),(-3.7282739442908293-9.75631304169743j),(8.90162300988754-12.243273582595805j),(1.4014075707821054-4.191102497768844j),(-15.270174262692853+20.492309052665924j),(0.3029258344519712+3.0562685199250645j),(-0.036266434867079145-9.761359901838029j),53.400000000000006
(5.366986888500252-17.907585837439584j),(2.798868597676968+15.316101347661302j),(-0.7197486090677216+5.684180598562554j),(-4.054525803223633-1.326977059404462j),(-4.405314299803525+2.78170340398811j),(-4.070473696712725-9.737582954374387j),(8.976844747815182-11.83952673369054j),(1.8768347771729061-4.373076491719356j),(-15.36795725576672+20.632769139236807j),(-0.13550875391063988+3.1332745987191446j),(0.0188544522469698-9.773808820297411j),53.5
(5.472993912962162-18.2071412824492j),(2.2923540621857477+15.797696211927423j),(-0.617338324958125+5.843651864125064j),(-3.9896148719026736-1.2045712029430273j),(-4.394421317116922+2.56170871809051j),(-3.720970386442769-9.931146229000824j),(9.01286454998005-12.117317781725923j),(1.2567262407796804-4.258141728066546j),(-15.250573015740022+20.60484218128096j),(0.15347641584616634+3.304551839672694j),(-0.14041317054620217-10.094282687901467j),53.6
(5.400272385278966-17.742419113303477j),(2.567222032039737+15.704396656105217j),(-0.780267702386837+5.867612035385043j),(-3.8684386435641946-1.3339399076410832j),(-4.1089941009168+2.8060969568101184j),(-3.6365305880399816-9.864372190048343j),(8.7369583397684-12.193840291532462j),(1.699275584802388-3.6732936915532726j),(-15.251575665473386+20.772172384677724j),(0.17821055389272544+3.30888096915482j),(0.22404896515225303-9.865381347131187j),53.7
(5.756807433067777-17.986094274190577j),(2.118583702569037+15.11864383626148j),(-0.22440127158824907+5.540464870793961j),(-3.8474035046259645-1.8886794085536955j),(-4.271532347155025+2.7423481774738274j),(-3.7836276033561065-10.327056454678223j),(9.03571965662589-11.920243051103801j),(1.847952934772608-4.4890334790794135j),(-15.194578994874885+20.461639583897217j),(0.04558237802746268+3.3830347320237726j),(0.00811452965270476-9.809822284941987j),53.800000000000004
(5.272257403856063-17.577907416295155j),(2.3127702492273956+15.405904326407864j),(-0.7664195179932864+5.682395804848794j),(-3.8499671468638006-1.4727516116978245j),(-4.431483131835755+2.810942759925714j),(-3.604926470356716-9.58006737737127j),(9.208718003844895-11.903263716978945j),(1.3092321645947784-4.0059934072488j),(-15.146931862799189+20.06436747490379j),(-0.020009762954390276+3.1270277220676164j),(-0.006427001080034245-9.90115408678928j),53.900000000000006
(5.637427725464498-17.77319755235567j),(2.4337974414583847+15.443396555816253j),(-0.5037075909309863+4.62928428305165j),(-3.644898673046754-1.5688275018360223j),(-4.230769550268324+2.777020397910203j),(-3.8770440510562345-9.773052958345623j),(9.108367874736878-11.632105287494575j),(1.6223920956535078-3.6272275608427105j),(-15.149083233496834+20.40903622717783j),(-0.08219857789281182+3.339315570066664j),(0.38933814652833476-10.017329202869858j),54.0
(5.702849967299477-17.684332916184474j),(2.3776375677735238+15.099584725399207j),(-0.406064115715969+5.752312031086854j),(-3.539923488948035-1.6725983824068718j),(-4.352186519365132+2.730885762243802j),(-3.489213402189777-9.776177900813558j),(8.815776927744116-11.652507585407012j),(1.2763922624990762-3.6529068687994126j),(-15.044304407161544+19.948810856346945j),(-0.19660295226463198+3.0993830367090576j),(0.38691083759945144-9.853587976134996j),54.1
(5.804246808052339-17.513726196403006j),(1.9693305142111974+15.14453740905222j),(-0.40172307787892336+5.839389147586443j),(-3.5365569870426286-1.1133967741069881j),(-4.264848692944216+2.808881452771636j),(-3.606325588298864-9.665936956229958j),(8.924824165776938-11.46803051079218j),(1.8323865238575898-3.6725202399540766j),(-15.473615442143888+19.93842286605216j),(-0.2577068108798084+3.1102542458541755j),(0.4174368480704125-10.017902012872012j),54.2
(5.637778632123698-17.555544938174663j),(2.4720629216415126+14.914930251876887j),(-0.8240315090743096+5.320554278979813j),(-3.372820668562616-1.3502871104233822j),(-4.351707175005041+2.6182475166213153j),(-3.59711073764997-9.5893370872061j),(9.152923825888717-11.658802707237466j),(1.4046916085907686-3.7711687765005024j),(-15.240292461980685+19.94257959310633j),(-0.24594394576267398+3.2962938819540266j),(0.5170288586850874-9.285004497104083j),54.300000000000004
(5.740779214476184-17.531151709390723j),(2.1794646431162317+15.172646097235052j),(-0.5881892629556695+5.193540756321731j),(-3.5177348550948935-1.3930008145709984j),(-4.258815259030284+2.7542164476976865j),(-3.6192478417973177-9.461779423495877j),(8.92587694455898-11.509290018214422j),(1.5734928388136202-4.041685446368771j),(-15.160132762600924+19.757541186105005j),(-0.1830438194802717+3.0881437893244836j),(0.3182069940924279-9.42113032219946j),54.400000000000006
(5.715995503750307-17.33102618560324j),(2.227811304980328+15.014328989893226j),(-0.5387332117261305+5.73729107719463j),(-3.2414910817586566-1.3443656092659655j),(-4.299422845691057+2.7972712629884966j),(-3.4976262506750615-9.74618967459594j),(8.934413314848632-11.429773815331728j),(1.3662199879706605-3.944669384327863j),(-15.182295503609698+19.753593026073464j),(-0.09863877934617982+3.230788214986574j),(0.3817636055082474-9.382617229269753j),54.5
(5.796918240625224-17.56218058701604j),(1.9297101386010223+14.527900395560138j),(-0.7275984195962941+5.276967482249557j),(-3.423514420940246-1.2313180730863076j),(-4.307521857159662+2.7381935276678555j),(-3.51121296163738-9.423736227844866j),(8.753388777653583-11.352651200618443j),(1.241180145315596-3.7539766112565474j),(-15.087970865952993+19.728471244686034j),(-0.27758203126259434+3.28407878783883j),(0.5512398963704364-9.373097926621071j),54.6
(5.9026150042127306-17.334660857436674j),(2.014650376128031+14.679459803792838j),(-0.6934115453109007+5.271593052518334j),(-3.258533011684184-1.5727451734317341j),(-4.199820916203583+2.787993714554613j),(-3.4358704979022185-9.531593411386332j),(8.883134743305911-11.31064079209478j),(1.3633309520082193-3.7363120478142946j),(-15.140723745057509+19.611531178112962j),(-0.22266375875180522+3.2260630900664378j),(0.6107892222981395-9.3122323255781j),54.7
(5.833774917037241-17.137770104320595j),(1.972186831382274+14.649647858459524j),(-0.749913154118385+5.1317263676703035j),(-3.2100850374978513-1.5416745815335489j),(-4.2946284899697895+2.7941868967523558j),(-3.417285073138345-9.535897571108276j),(8.912892838143188-11.286552514015227j),(1.3272646501939596-3.564436752079441j),(-15.071342966474667+19.396301392139467j),(-0.26461021161672527+3.184024852906566j),(0.5810542679634203-9.467543493816523j),54.800000000000004
(5.815698438252618-17.080842874653595j),(1.9148088938166943+14.61188140965218j),(-0.7769142462178635+5.132268372146235j),(-3.2365137728637308-1.4218239492178029j),(-4.236793848166364+2.847123587604081j),(-3.332039029063394-9.646706596255285j),(8.902723118801363-11.232956106847606j),(1.2609386685781399-3.617258698978736j),(-15.110078042618397+19.248708467441944j),(-0.25286648861421757+3.1038909328546644j),(0.6561208481910938-9.272917022069661j),54.900000000000006
(5.854788643408812-17.09830878574258j),(1.7760049871764743+14.50593072548191j),(-0.6403251715833926+5.05425094039628j),(-3.2043009050143354-1.454501305964051j),(-4.221299965477854+2.791986607525645j),(-3.355060652183745-9.510005120754405j),(8.847189630258569-11.222330392834415j),(1.2815113974151515-3.575748481639014j),(-15.062794686671952+19.173141657338668j),(-0.28188816199718403+3.1600771160282832j),(0.7122565525267497-9.309141810623547j),55.0
(5.880315736746958-17.053042158843684j),(1.7204842639930824+14.423320785573743j),(-0.6925422084853139+5.025731559849506j),(-3.1419336082306693-1.4326722312814255j),(-4.209224181252619+2.8136276512413616j),(-3.332816845330843-9.4585601605181j),(8.86122216551975-11.162946653876718j),(1.2629143238747673-3.5644958248478176j),(-15.06043769386719+19.139713430117613j),(-0.290875001997712+3.1289157770983067j),(0.7448256287525843-9.27020655395184j),55.1
(5.866922063752559-16.989620177810743j),(1.6467097138094857+14.400864743090953j),(-0.6939600078621384+4.981400748806514j),(-3.074965394838939-1.4334011534779378j),(-4.20902983892617+2.8269671682244706j),(-3.322119265208803-9.417770856367165j),(8.842357555912711-11.136216843531528j),(1.2303259928917853-3.5191641165148635j),(-15.049897889883937+19.051262764701477j),(-0.28594300464738254+3.097471253682315j),(0.7578249752371988-9.213623643465208j),55.2
(5.9280647481420825-16.935431879394443j),(1.6741187013930485+14.328334926773353j),(-0.6933577063888707+4.9853099110577705j),(-3.0797639967912867-1.4573173294238249j),(-4.208296826639419+2.8112386539892715j),(-3.3062114046445465-9.43469365179375j),(8.854078071026677-11.045053558636981j),(1.1882909630592415-3.523617776731051j),(-15.036179595931035+19.010843915612824j),(-0.30647055615623486+3.125891928489609j),(0.8049388511767361-9.22211699331416j),55.300000000000004
(5.953481256743307-16.969667296184095j),(1.5435386779515738+14.211507386509206j),(-0.7562395514657254+5.1354939869516585j),(-2.992449342637455-1.4661600934286785j),(-4.221737452725908+2.8218004766107585j),(-3.223364005607612-9.442788629957342j),(8.810592404819083-11.06089692512942j),(1.047870477067903-3.4650024094647947j),(-15.107683362919644+18.90456394683449j),(-0.289074550644731+3.1368791339638027j),(0.8374755302313446-9.18712354089516j),55.400000000000006
(5.815341972105754-16.864402754004264j),(1.4297237231453295+14.124795919260897j),(-0.9174604791129184+5.003788974205893j),(-2.944947351360643-1.5533246670714096j),(-4.18270687385942+2.817430446882339j),(-3.273753143338258-9.254207563554818j),(8.80923661362434-10.899975426400808j),(1.22828385608668-3.4625370145959664j),(-14.985382788538821+18.738875699469908j),(-0.42772754558444515+3.111960423199008j),(0.8744488474943317-9.180273369550878j),55.5
(5.911585653057408-16.756667770915254j),(1.2994457934003352+14.046716878459323j),(-0.843285942370052+5.044202415444403j),(-2.9015819537996506-1.308642718585368j),(-4.101852810802981+2.8640310090502723j),(-3.2271449700544537-9.349321353784731j),(8.738549051261856-10.924477240656046j),(1.1833932158292129-3.651826128842117j),(-14.9009816864538+18.726488608281908j),(-0.36413698180578+3.115594535751823j),(0.8073454150687525-8.978570013632037j),55.6
(6.078029606559215-16.56405611987372j),(1.2246972395569564+13.803668137329982j),(-0.7746542616984442+4.849653293652516j),(-2.831540384684917-1.4081491890208468j),(-4.221160273772146+2.8140438699019414j),(-2.9839670684586537-9.153410269165999j),(8.662292748614304-10.99760277534313j),(1.3378572942945368-3.659760744829157j),(-15.04912712935566+18.76278197660954j),(-0.07340286206084556+3.198435640039591j),(1.058624419081859-9.050067979769274j),55.7
(6.184300692822241-16.479852611769758j),(1.3401992426343128+13.981950353806837j),(-0.8070059826031937+5.08871089526972j),(-2.9412869626789373-1.4769304405440096j),(-3.9568743320516884+2.9339155976429083j),(-3.040077836529644-9.116152131272798j),(8.701929100370755-11.084456156453014j),(1.2051732711424563-3.183267975210221j),(-15.0646986678764+18.6187680682351j),(-0.3421408197367839+2.9044848611929943j),(0.9946227675173631-9.059759773588809j),55.800000000000004
(6.168440450315085-16.51322848253763j),(1.4343959172646166+13.72118791618906j),(-0.7382317498229+5.038770577159802j),(-2.9301185021224967-1.4062863783897086j),(-4.0298585299023735+2.8014504528174413j),(-2.99474695587935-9.465398536083203j),(9.024582594789344-10.694767980240371j),(1.0165980730897353-3.4442995188822323j),(-14.878773301094263+18.367844558617485j),(-0.5498374982496799+2.903783115849855j),(1.0688833581647685-9.136730549409883j),55.900000000000006
(6.07894523108557-16.567059490100597j),(1.739360634969941+13.758552883018105j),(-0.4482044689030662+4.508164429769238j),(-2.805080000420702-1.2733020559092836j),(-4.229535339329338+2.7486876789831562j),(-2.817368923582052-9.423563370218261j),(8.605853156758549-10.492511459994162j),(1.2503940485220824-3.7203173343352134j),(-15.098532369652105+18.297141729142048j),(-0.3345442608087055+3.0114869910331024j),(1.053986367993339-9.050755285697132j),56.0
(6.12691900632143-16.220374648629786j),(1.259128918614067+13.630015563808627j),(-1.2544623885837276+4.952997637239477j),(-2.883030892624209-1.1402536124263798j),(-4.278465765138918+2.561877187822809j),(-3.2731137509221284-9.240977409977337j),(9.08312105919272-10.698887101212662j),(1.207489793457647-3.6405650828559084j),(-14.91924958772687+18.301029606284498j),(-0.4090167845046704+2.9771958655235107j),(1.3508108475304912-9.005801628236629j),56.1
(6.271021259067034-16.55753548013186j),(1.0762329713502936+13.63838916236639j),(-1.4652498244923748+4.457778683966161j),(-2.5493859430729895-1.4611422728831087j),(-3.9712443196788954+2.955631466734104j),(-3.2231909350297983-8.646058047359375j),(8.687272801542385-10.625445460894982j),(0.6593681356476679-3.034605870252207j),(-14.984033193148983+18.059224262584124j),(-0.587511153953173+2.7638842267535146j),(1.4951245081731148-9.238501794304604j),56.2
(6.009705616990825-15.99243230025214j),(1.0726755212719148+13.715260661543276j),(-0.6944505940902843+4.934249430605224j),(-2.6460316907306343-1.4707689985258554j),(-4.49238472026068+2.7705096779834264j),(-2.7632946180151947-9.274912378586315j),(8.177888848320144-10.837423713320959j),(1.263541733020773-3.3206970178992705j),(-14.990780949852194+18.186428764322166j),(-0.4482402390168545+2.876933445905543j),(1.2273211369208497-8.98128166511782j),56.300000000000004
(5.7463703809442315-16.00543486315594j),(0.9083154202141941+13.57257227209892j),(-0.9299296824880621+5.155893965774254j),(-2.984544884474893-1.75118793687815j),(-3.46690930573844+3.0235655291779366j),(-2.8763512827580104-8.69951523694531j),(8.725990584900007-10.46320456476927j),(1.4605785419473847-3.0107009712391957j),(-15.001047815862494+18.032535910378655j),(-0.22559690149476808+3.279058703416716j),(1.4242262898111662-8.851117630082513j),56.400000000000006
(6.470526334517892-15.823426310051943j),(1.05518011210944+13.444219871140511j),(-0.3504461430095134+3.866451068965162j),(-2.9282001835029696-1.4166668734655445j),(-4.017104372969865+3.05294600399953j),(-2.375182730504619-8.731331755548105j),(8.598657640221141-10.748278757821083j),(0.7590375760118926-2.5307447800311778j),(-14.999509015275756+18.31015007119305j),(-0.4501333904737095+2.834203003621006j),(0.842893765899472-9.288555658595062j),56.5
(5.757661827007645-16.262406842129096j),(0.9378787208461858+13.332396501895172j),(-0.7557593582902342+4.889137382585595j),(-2.5038070809702235-1.4234469320648317j),(-3.8473626527009515+2.938239704207369j),(-2.7900637135707385-9.496710622258215j),(9.037199729591745-11.011613576826441j),(0.647435676718132-3.3563223832584725j),(-15.012394738081904+17.7694705537767j),(-0.8012881279324304+2.8833881570671718j),(1.3109642111465645-8.878122894493401j),56.6
(6.116235496897161-15.796302386032268j),(0.7508569595706902+14.069199655449523j),(-1.3490702294697314+4.833934473480554j),(-2.4609911747479205-1.5800677756937977j),(-3.7002632973388323+2.6544260236583597j),(-2.7759580703671958-8.926847473349895j),(8.622292010325008-10.726695358959077j),(0.7544237038294739-2.678275753067921j),(-14.718368323400586+17.78296382089993j),(-0.8534672956574907+2.9279216426078705j),(1.3758116522032182-8.692315364834236j),56.7
(6.526634305151632-15.956249959301928j),(0.7652190080413845+13.329423809838232j),(-1.5090674435532705+4.011647729622318j),(-2.47283847587231-1.2586531557606833j),(-4.248244546808934+2.935131169313596j),(-2.5211879008317055-8.792452518465055j),(9.321420940302396-10.295618989057573j),(1.212056816720974-3.6250697729070858j),(-14.860764751104949+18.108846727529738j),(-0.8216488951466996+3.364882673062553j),(1.8286838930079057-8.723902714656035j),56.800000000000004
